Particles,Update_Pos_s,Update_Vel_s,Update_Forces_Acc_s,GPU_Elapsed_s,Total_GPU_Time_s
10,3.00343,5.70313,4.23579,13.0981,13.0981
20,3.16223,5.92359,3.01144,12.2343,12.2343
50,3.2693,5.90606,4.87914,14.2075,14.2075
100,3.53724,6.40812,5.21933,15.2919,15.2919
200,1.7509,5.71402,4.95288,12.5352,12.5352
500,3.33053,5.93916,5.38192,14.7826,14.7826
1000,1.84888,6.16644,6.40906,14.5714,14.5714
2000,2.7948,4.9275,6.38123,14.2735,14.2735
5000,2.78,5.09023,8.11357,16.1261,16.1261
10000,3.0346,5.99738,15.6349,24.8179,24.8179
20000,3.67254,5.29547,31.0919,40.2345,40.2345
