Particles,Update_Pos_s,Update_Vel_s,Update_Forces_Acc_s,Total_Time_s
10,1.31336,1.23834,1.32509,4.07002
20,1.34964,1.28504,1.41863,4.25743
50,1.35327,1.29766,1.3994,4.25082
100,1.3505,1.31538,1.40466,4.27161
200,1.37665,1.31214,1.4045,4.29587
500,1.34962,1.29369,1.3705,4.2108
1000,1.34421,1.29033,1.35808,4.18832
2000,1.33732,1.27773,1.3751,4.18382
5000,1.32265,1.26989,1.69334,4.47327
10000,1.34011,1.28701,1.34516,4.16231
20000,1.34807,1.29826,1.67577,4.51214
50000,1.43051,1.35803,1.66593,4.64842
100000,1.58629,1.44455,2.90719,6.13783
200000,2.01278,1.77194,4.43216,8.43374
500000,4.02839,3.70115,12.4212,20.4335
1000000,7.07555,6.68107,28.3222,42.4401
2000000,12.8615,11.9364,75.2111,100.536
5000000,29.6844,27.687,448.69,507.068
