Particles,Update_Pos_s,Update_Vel_s,Update_Forces_Acc_s,Total_Time_s
10,0.526505,0.916874,1.08904,2.56005
20,0.514746,0.896694,1.08399,2.52305
50,0.515596,0.916714,1.09201,2.55164
100,0.515088,0.904677,1.10344,2.55054
200,0.525653,0.92581,1.14441,2.62342
500,0.550469,0.969009,1.17515,2.72212
1000,0.554326,0.982379,1.18751,2.75171
2000,0.553504,0.978472,1.19266,2.75225
5000,0.563855,0.983257,1.88924,3.46388
10000,0.560904,0.993306,1.23052,2.81197
20000,0.575889,1.02126,1.76513,3.38974
50000,0.709462,1.16084,1.56637,3.46408
100000,0.941666,1.3853,2.60582,4.96077
200000,1.48746,1.96249,4.4025,7.88005
500000,2.98904,3.98289,12.7699,19.7697
1000000,5.66235,6.71172,32.5113,44.9132
