Particles,Update_Pos_s,Update_Vel_s,Update_Forces_Acc_s,Total_Time_s
10,0.0285103,0.00380005,0.0643011,1.66074
20,0.0541399,0.0046878,0.12458,1.66071
50,0.123247,0.00744713,0.287358,1.89797
100,0.223473,0.0120316,0.530115,2.56103
200,0.443246,0.0202525,1.04314,3.14823
500,0.989638,0.045077,2.33272,4.89917
1000,1.89062,0.106388,4.68197,8.08429
2000,3.65231,0.238554,9.93694,15.1256
5000,8.93437,0.702838,29.2579,40.2487
10000,17.7484,1.75397,48.8975,70.0807
20000,35.3579,4.21946,108.617,150.064
50000,88.1906,11.1808,249.183,351.313
