Particles,Update_Pos_s,Update_Vel_s,Update_Forces_Acc_s,Total_Time_s
10,1.39373,1.31391,1.41892,4.33414
20,1.42195,1.34821,1.51467,4.5027
50,1.4553,1.39717,1.5293,4.59956
100,1.44951,1.41493,1.53311,4.61637
200,1.47239,1.40598,1.52632,4.6236
500,1.48582,1.416,1.54044,4.66273
1000,1.44466,1.3818,1.49192,4.53122
2000,1.46767,1.40699,1.53331,4.62342
5000,1.37574,1.32739,1.7429,4.64229
10000,1.40489,1.35385,1.41861,4.38014
20000,1.41611,1.3645,1.74987,4.72889
50000,1.46989,1.40623,1.70506,4.78034
100000,1.6348,1.49435,2.95262,6.28793
200000,2.06269,1.82086,4.4869,8.59347
500000,4.07214,3.74833,12.4261,20.5347
1000000,7.1207,6.72735,28.3485,42.5621
