Particles,Update_Pos_s,Update_Vel_s,Update_Forces_Acc_s,Total_Time_s
10,1.02628,0.950904,1.08967,3.23235
20,1.02595,0.957797,1.10037,3.24997
50,1.0559,1.0057,1.10934,3.33791
100,1.05881,1.00321,1.11763,3.34676
200,1.0784,1.00872,1.12639,3.38204
500,1.08539,1.01628,1.13749,3.40831
1000,1.08522,1.01557,1.14135,3.4111
2000,1.08365,1.01923,1.16038,3.43259
5000,1.10555,1.04082,1.61633,3.93941
10000,1.10626,1.04715,1.17923,3.5036
20000,1.12041,1.06538,1.57164,3.93649
50000,1.21713,1.13026,1.52607,4.05496
100000,1.38365,1.22229,2.86242,5.66313
200000,1.78527,1.55686,4.49628,8.06052
500000,3.76553,3.46538,13.4779,21.0202
1000000,6.67608,6.47699,32.3164,45.9005
