Particles,Update_Pos_s,Update_Vel_s,Update_Forces_Acc_s,Total_Time_s
10,2.38729,2.40936,1.20668,6.28806
20,1.57512,1.57815,0.790133,4.12856
50,2.66517,2.64695,1.3546,6.97926
100,1.75073,1.72651,0.921809,4.61095
200,2.24764,2.21904,1.1837,5.92823
500,2.85777,2.80845,1.56583,7.59649
1000,2.2936,2.26355,1.33196,6.22399
2000,1.99538,1.89901,1.2933,5.58271
5000,1.27631,1.08415,1.2444,4.01478
10000,2.48482,2.01686,2.4192,7.43832
20000,1.63715,0.989665,2.86727,6.28995
50000,4.34939,2.45708,7.97427,16.4891
100000,8.36479,3.43045,17.1337,31.805
200000,13.4945,3.69686,32.6208,53.6962
500000,34.0058,9.50246,185.109,233.95
1000000,60.4579,22.0702,663.119,751.977
