Particles,Update_Pos_s,Update_Vel_s,Update_Forces_Acc_s,Total_Time_s
10,0.535053,0.922621,1.05658,2.67792
20,0.527181,0.914404,1.05607,2.66123
50,0.52859,0.926153,1.06377,2.68161
100,0.523033,0.909169,1.07459,2.66858
200,0.540685,0.947824,1.11405,2.76813
500,0.652648,1.02418,1.76369,3.612
1000,0.711038,1.06055,1.78928,3.73756
2000,0.727883,1.06186,1.80291,3.76862
5000,0.733664,1.06535,2.71745,4.69366
10000,0.732736,1.07535,1.85095,3.83639
20000,0.732175,1.08267,2.52563,4.51842
50000,0.772074,1.19266,1.90656,4.05281
100000,0.959427,1.41136,2.56268,5.12401
200000,1.47799,1.97836,4.30664,7.97417
500000,3.10064,4.19627,14.1197,21.6901
1000000,5.73399,7.47067,32.7518,46.3168
